CAN Message; 0x24:054799c05992e3d6
Timestamp;Amplitude
1739209644.8309572;-45.120503652039325
1739209644.8309593;-32.81601443825658
1739209644.8309615;-38.13080360867914
1739209644.8309639;-38.13080360867914
1739209644.830966;-45.120503652039325
1739209644.8309681;-45.120503652039325
1739209644.8309703;-38.13080360867914
1739209644.8309724;-38.13080360867914
1739209644.8309746;-45.120503652039325
1739209644.8309767;-38.13080360867914
1739209644.8309789;-38.13080360867914
1739209644.830981;-38.13080360867914
1739209644.8309834;-45.120503652039325
1739209644.8309855;-45.120503652039325
1739209644.8309877;-45.120503652039325
1739209644.8309898;-45.120503652039325
1739209644.830992;-45.120503652039325
1739209644.8309941;-38.13080360867914
1739209644.8309963;-32.816014438256545
1739209644.8309984;-45.120503652039325
1739209644.8310006;-45.120503652039325
1739209644.831003;-38.13080360867914
1739209644.831005;-32.816014438256545
1739209644.8310072;-38.13080360867914
1739209644.8310094;-45.120503652039325
1739209644.8310115;-29.438486411369347
1739209644.8310137;-33.981070128970906
1739209644.8310158;-33.981070128970906
1739209644.831018;-45.120503652039325
1739209644.83102;-45.120503652039325
1739209644.8310225;-45.120503652039325
1739209644.8310246;-33.981070128970906
1739209644.8310268;-45.120503652039325
1739209644.831029;-30.49652367304973
1739209644.831031;-33.981070128970906
1739209644.8310332;-33.981070128970906
1739209644.8310354;-45.120503652039325
1739209644.8310375;-38.13080360867914
1739209644.8310397;-35.57807855764607
1739209644.831042;-38.13080360867914
1739209644.8310442;-38.13080360867914
1739209644.8310463;-31.141103565318915
1739209644.8310485;-31.141103565318915
1739209644.8310506;-38.13080360867914
1739209644.8310528;-45.120503652039325
1739209644.831055;-45.120503652039325
1739209644.831057;-35.57807855764607
1739209644.8310592;-38.13080360867914
1739209644.8310616;-45.120503652039325
1739209644.8310637;-45.120503652039325
1739209644.831066;-35.57807855764607
1739209644.831068;-35.57807855764607
1739209644.8310702;-45.120503652039325
1739209644.8310723;-38.13080360867914
1739209644.8310745;-38.13080360867914
1739209644.8310766;-38.13080360867914
1739209644.8310788;-45.120503652039325
1739209644.8310812;-45.120503652039325
1739209644.8310833;-45.120503652039325
1739209644.8310854;-45.120503652039325
1739209644.8310876;-45.120503652039325
1739209644.8310897;-45.120503652039325
1739209644.831092;-38.13080360867914
1739209644.831094;-45.120503652039325
1739209644.8310962;-45.120503652039325
1739209644.8310983;-38.13080360867914
1739209644.8311007;-33.981070128970906
1739209644.8311028;-38.13080360867914
1739209644.831105;-38.13080360867914
1739209644.8311071;-33.981070128970906
1739209644.8311093;-45.120503652039325
1739209644.8311114;-45.120503652039325
1739209644.8311136;-45.120503652039325
1739209644.8311157;-45.120503652039325
1739209644.8311179;-38.13080360867914
1739209644.8311203;-35.57807855764607
1739209644.8311224;-45.120503652039325
1739209644.8311245;-45.120503652039325
1739209644.8311267;-35.57807855764607
1739209644.8311288;-38.13080360867914
1739209644.831131;-45.120503652039325
1739209644.8311331;-38.13080360867914
1739209644.8311353;-38.13080360867914
