CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.69422;-45.120503652039325
1739209828.6942277;-38.13080360867914
1739209828.6942353;-38.13080360867914
1739209828.6942427;-45.120503652039325
1739209828.6942503;-38.13080360867914
1739209828.694258;-45.120503652039325
1739209828.6942654;-45.120503652039325
1739209828.694273;-45.120503652039325
1739209828.6942806;-45.120503652039325
1739209828.694288;-45.120503652039325
1739209828.6942956;-38.13080360867914
1739209828.6943033;-38.13080360867914
1739209828.694311;-38.13080360867914
1739209828.6943183;-38.13080360867914
1739209828.694326;-45.120503652039325
1739209828.6943336;-45.120503652039325
1739209828.694341;-45.120503652039325
1739209828.6943486;-33.981070128970906
1739209828.6943562;-45.120503652039325
1739209828.6943636;-45.120503652039325
1739209828.6943712;-35.57807855764607
1739209828.6943789;-38.13080360867914
1739209828.6943862;-45.120503652039325
1739209828.6943939;-45.120503652039325
1739209828.6944015;-38.13080360867914
1739209828.694409;-38.13080360867914
1739209828.6944165;-38.13080360867914
1739209828.6944242;-35.57807855764607
1739209828.6944315;-33.981070128970906
1739209828.6944392;-31.141103565318915
1739209828.6944468;-35.57807855764607
1739209828.6944544;-38.13080360867914
1739209828.6944618;-38.13080360867914
1739209828.6944695;-32.816014438256545
1739209828.694477;-38.13080360867914
1739209828.6944845;-45.120503652039325
1739209828.694492;-35.57807855764607
1739209828.6944997;-35.57807855764607
1739209828.6945071;-45.120503652039325
1739209828.6945148;-38.13080360867914
1739209828.6945224;-38.13080360867914
1739209828.6945298;-38.13080360867914
1739209828.6945374;-38.13080360867914
1739209828.694545;-45.120503652039325
1739209828.6945524;-38.13080360867914
1739209828.69456;-38.13080360867914
1739209828.6945677;-35.57807855764607
1739209828.694575;-38.13080360867914
1739209828.6945827;-38.13080360867914
1739209828.6945903;-38.13080360867914
1739209828.6945977;-33.981070128970906
1739209828.6946054;-38.13080360867914
1739209828.694613;-38.13080360867914
1739209828.6946206;-45.120503652039325
1739209828.694628;-35.57807855764607
1739209828.6946356;-38.13080360867914
1739209828.6946433;-38.13080360867914
1739209828.6946507;-45.120503652039325
1739209828.6946583;-32.816014438256545
1739209828.694666;-38.13080360867914
1739209828.6946733;-45.120503652039325
1739209828.694681;-45.120503652039325
1739209828.6946886;-45.120503652039325
1739209828.694696;-38.13080360867914
1739209828.6947036;-45.120503652039325
1739209828.6947112;-45.120503652039325
1739209828.6947186;-45.120503652039325
1739209828.6947262;-38.13080360867914
1739209828.6947339;-45.120503652039325
1739209828.6947412;-45.120503652039325
1739209828.6947489;-28.992665084841942
1739209828.6947565;-45.120503652039325
1739209828.694764;-45.120503652039325
1739209828.6947715;-38.13080360867914
1739209828.6947792;-38.13080360867914
1739209828.6947868;-45.120503652039325
1739209828.6947942;-45.120503652039325
1739209828.6948018;-38.13080360867914
1739209828.6948094;-38.13080360867914
1739209828.6948168;-45.120503652039325
1739209828.6948245;-33.981070128970906
1739209828.694832;-45.120503652039325
1739209828.6948395;-45.120503652039325
1739209828.694847;-45.120503652039325
1739209828.6948547;-38.13080360867914
1739209828.6948621;-35.57807855764607
1739209828.6948698;-38.13080360867914
1739209828.6948774;-45.120503652039325
1739209828.6948848;-38.13080360867914
1739209828.6948924;-35.57807855764607
1739209828.6949;-38.13080360867914
1739209828.6949074;-45.120503652039325
1739209828.694915;-45.120503652039325
1739209828.6949227;-45.120503652039325
1739209828.6949303;-45.120503652039325
1739209828.6949377;-45.120503652039325
1739209828.6949453;-45.120503652039325
1739209828.694953;-45.120503652039325
1739209828.6949604;-38.13080360867914
1739209828.694968;-45.120503652039325
1739209828.6949756;-38.13080360867914
1739209828.694983;-32.816014438256545
1739209828.6949906;-45.120503652039325
1739209828.6949983;-45.120503652039325
1739209828.6950057;-45.120503652039325
1739209828.6950133;-45.120503652039325
1739209828.695021;-38.13080360867914
1739209828.6950283;-45.120503652039325
1739209828.695036;-38.13080360867914
1739209828.6950436;-38.13080360867914
1739209828.695051;-30.49652367304973
1739209828.6950586;-35.57807855764607
1739209828.6950662;-38.13080360867914
1739209828.6950736;-38.13080360867914
1739209828.6950812;-35.57807855764607
1739209828.6950889;-32.816014438256545
1739209828.6950965;-38.13080360867914
1739209828.695104;-38.13080360867914
